N  | Processing
N  | · ↔ Input/Output /project/
N  | · ? Include      '**/*.md'
N  | · ? Exclude      '**/**/*Test/**', '**/**/*Test.md', '**/**/*Test~*.md'
N  | ↔ docs/Shared/Installation.md ............................. R..     0.052 s DONE
D  | · ? Self .................................................. ...     0.018 s
D  | · ? Reads ................................... 2 / 10.40 KiB ...     0.003 s
V  | · ● LastDragon_ru\LaraASP\Documentator\Processor\Tasks\Prep
V  | · · rocess\Task ........................................... R..     0.005 s DONE
D  | · · ? Self ................................................ ...     0.004 s
D  | · · ? Reads .................................. 1 / 0.08 KiB ...     0.001 s
VV | · · ↔ docs/Shared/Installation.md ................ 0.08 KiB R..     0.001 s DONE
V  | · ● LastDragon_ru\LaraASP\Documentator\Processor\Tasks\Code
V  | · · Links\Task ............................................ R..     0.029 s DONE
D  | · · ? Self ................................................ ...     0.023 s
D  | · · ? Reads ................................. 1 / 10.32 KiB ...     0.001 s
VV | · · ↔ composer.json ....................................... ...     0.004 s DONE
VV | · · ↔ composer.json ............................. 10.32 KiB R..     0.001 s DONE
N  | ↔ packages/graphql/docs/Directives/@searchBy.md ........... R..     1.276 s DONE
D  | · ? Self .................................................. ...     0.000 s
D  | · ? Reads ................................... 4 / 20.82 KiB ...     0.006 s
V  | · ● LastDragon_ru\LaraASP\Documentator\Processor\Tasks\Prep
V  | · · rocess\Task ........................................... R..     1.233 s DONE
D  | · · ? Self ................................................ ...     1.223 s
D  | · · ? Reads ................................. 3 / 10.50 KiB ...     0.005 s
VV | · · ↔ packages/graphql/docs/Directives/@searchBy.md
VV | · · · ............................................ 9.10 KiB R..     0.001 s DONE
VV | · · ↔ packages/graphql/src/SearchBy/Directives/DirectiveTes
VV | · · · t/Example.schema.graphql ............................ ...     0.003 s DONE
VV | · · ↔ packages/graphql/src/SearchBy/Directives/DirectiveTes
VV | · · · t/Example.schema.graphql ................... 0.45 KiB R..     0.002 s DONE
VV | · · ↔ packages/graphql/docs/Directives/@searchByConfigOpera
VV | · · · tors.php ............................................ ...     0.002 s DONE
VV | · · ↔ packages/graphql/docs/Directives/@searchByConfigOpera
VV | · · · tors.php ................................... 0.96 KiB R..     0.001 s DONE
V  | · ● LastDragon_ru\LaraASP\Documentator\Processor\Tasks\Code
V  | · · Links\Task ............................................ R..     0.043 s DONE
D  | · · ? Self ................................................ ...     0.041 s
D  | · · ? Reads ................................. 1 / 10.32 KiB ...     0.002 s
VV | · · ↔ composer.json ....................................... ...     0.000 s DONE
VV | · · ↔ composer.json ............................. 10.32 KiB R..     0.002 s DONE
N  | ↔ packages/graphql/docs/Directives/@sortBy.md ............. R..     0.075 s DONE
D  | · ? Self .................................................. ...     0.000 s
D  | · ? Reads .................................... 5 / 7.02 KiB ...     0.008 s
V  | · ● LastDragon_ru\LaraASP\Documentator\Processor\Tasks\Prep
V  | · · rocess\Task ........................................... R..     0.067 s DONE
D  | · · ? Self ................................................ ...     0.050 s
D  | · · ? Reads .................................. 5 / 7.02 KiB ...     0.008 s
VV | · · ↔ packages/graphql/docs/Directives/@sortBy.md  5.71 KiB R..     0.002 s DONE
VV | · · ↔ packages/graphql/src/SortBy/Directives/DirectiveTest/
VV | · · · Example.schema.graphql .............................. ...     0.003 s DONE
VV | · · ↔ packages/graphql/src/SortBy/Directives/DirectiveTest/
VV | · · · Example.schema.graphql ..................... 0.34 KiB R..     0.002 s DONE
VV | · · ↔ packages/graphql/docs/Directives/@sortByConfigOrderBy
VV | · · · Random.php .......................................... ...     0.002 s DONE
VV | · · ↔ packages/graphql/docs/Directives/@sortByConfigOrderBy
VV | · · · Random.php ................................. 0.37 KiB R..     0.001 s DONE
VV | · · ↔ packages/graphql/docs/Directives/@sortByConfigNullsSi
VV | · · · ngleValue.php ....................................... ...     0.002 s DONE
VV | · · ↔ packages/graphql/docs/Directives/@sortByConfigNullsSi
VV | · · · ngleValue.php .............................. 0.23 KiB R..     0.002 s DONE
VV | · · ↔ packages/graphql/docs/Directives/@sortByConfigNullsAr
VV | · · · rayValue.php ........................................ ...     0.001 s DONE
VV | · · ↔ packages/graphql/docs/Directives/@sortByConfigNullsAr
VV | · · · rayValue.php ............................... 0.37 KiB R..     0.002 s DONE
V  | · ● LastDragon_ru\LaraASP\Documentator\Processor\Tasks\Code
V  | · · Links\Task ............................................ ...     0.009 s DONE
D  | · · ? Self ................................................ ...     0.009 s
VV | · · ↔ composer.json ....................................... ...     0.000 s DONE
N  | ↔ packages/graphql/docs/Directives/@stream.md ............. R..     0.078 s DONE
D  | · ? Self .................................................. ...     0.000 s
D  | · ? Reads .................................... 1 / 4.38 KiB ...     0.002 s
V  | · ● LastDragon_ru\LaraASP\Documentator\Processor\Tasks\Prep
V  | · · rocess\Task ........................................... R..     0.072 s DONE
D  | · · ? Self ................................................ ...     0.070 s
D  | · · ? Reads .................................. 1 / 4.38 KiB ...     0.002 s
VV | · · ↔ packages/graphql/docs/Directives/@stream.md  4.38 KiB R..     0.002 s DONE
V  | · ● LastDragon_ru\LaraASP\Documentator\Processor\Tasks\Code
V  | · · Links\Task ............................................ ...     0.006 s DONE
D  | · · ? Self ................................................ ...     0.006 s
VV | · · ↔ composer.json ....................................... ...     0.000 s DONE
N  | ↔ packages/graphql/docs/Directives/@type.md ............... R..     0.033 s DONE
D  | · ? Self .................................................. ...     0.000 s
D  | · ? Reads .................................... 1 / 1.11 KiB ...     0.002 s
V  | · ● LastDragon_ru\LaraASP\Documentator\Processor\Tasks\Prep
V  | · · rocess\Task ........................................... R..     0.032 s DONE
D  | · · ? Self ................................................ ...     0.030 s
